year,month,resNm,ForNum,NatNum
2014,01,서대문자연사박물관,0,38632
2014,01,트릭아이미술관,38306,15714
2014,01,헌릉ㆍ인릉,9,1401
2014,01,선릉·정릉,1339,13176
2014,02,창덕궁,20715,44756
2014,02,경복궁,103625,154435
2014,02,창경궁,1492,36721
2014,02,종묘,5181,12307
2014,02,국립중앙박물관,7847,243843
2014,02,덕수궁,10022,93247
2014,02,태릉 ·  강릉 · 조선왕릉전시관,56,1026
2014,02,서대문형무소역사관,3735,23139
2014,02,서대문자연사박물관,0,24261
2014,02,트릭아이미술관,41728,16869
2014,02,헌릉ㆍ인릉,17,1460
2014,02,선릉·정릉,1219,13361
2014,03,창덕궁,32402,63221
2014,03,경복궁,126971,223788
2014,03,창경궁,2477,44840
2014,03,종묘,7528,16116
2014,03,국립중앙박물관,9590,172398
2014,03,덕수궁,14088,144903
2014,03,태릉 ·  강릉 · 조선왕릉전시관,15,6751
2014,03,서대문형무소역사관,3824,57660
2014,03,서대문자연사박물관,0,29177
2014,03,트릭아이미술관,39670,12978
2014,03,헌릉ㆍ인릉,43,3252
2014,03,선릉·정릉,1101,25566
2014,04,창덕궁,45258,145834
2014,04,경복궁,162371,360411
2014,04,창경궁,4243,89737
2014,04,종묘,6568,17958
2014,04,국립중앙박물관,10362,196802
2014,04,덕수궁,17886,86252
2014,04,태릉 ·  강릉 · 조선왕릉전시관,43,4129
2014,04,서대문형무소역사관,4129,53213
2014,04,서대문자연사박물관,0,24761
2014,04,트릭아이미술관,52314,8557
2014,04,헌릉ㆍ인릉,48,5129
2014,04,선릉·정릉,1251,40860
2014,05,창덕궁,44392,143694
2014,05,경복궁,162319,457248
2014,05,창경궁,4220,100809
2014,05,종묘,9195,53528
2014,05,국립중앙박물관,11508,338536
2014,05,덕수궁,16745,100802
2014,05,태릉 ·  강릉 · 조선왕릉전시관,21,7130
2014,05,서대문형무소역사관,5224,34650
2014,05,서대문자연사박물관,0,26111
2014,05,트릭아이미술관,46929,9517
2014,05,헌릉ㆍ인릉,45,6544
2014,05,선릉·정릉,1417,41747
2014,06,창덕궁,35345,76779
2014,06,경복궁,154604,270469
2014,06,창경궁,2298,37959
2014,06,종묘,5368,18263
2014,06,국립중앙박물관,11074,305438
2014,06,덕수궁,12516,62932
2014,06,태릉 ·  강릉 · 조선왕릉전시관,14,10011
2014,06,서대문형무소역사관,3552,36078
2014,06,서대문자연사박물관,0,29942
2014,06,트릭아이미술관,44300,12478
2014,06,헌릉ㆍ인릉,0,5537
2014,06,선릉·정릉,1171,35824
2014,07,창덕궁,38585,62361
2014,07,경복궁,218935,274596
2014,07,창경궁,3570,31164
2014,07,종묘,4727,14736
2014,07,국립중앙박물관,12613,376891
2014,07,덕수궁,15163,59167
2014,07,태릉 ·  강릉 · 조선왕릉전시관,44,5622
2014,07,서대문형무소역사관,5288,31729
2014,07,서대문자연사박물관,0,35226
2014,07,트릭아이미술관,50616,19529
2014,07,헌릉ㆍ인릉,5,1510
2014,07,선릉·정릉,1022,25191
2014,08,창덕궁,43372,91108
2014,08,경복궁,230924,405225
2014,08,창경궁,2866,44450
2014,08,종묘,6342,20377
2014,08,국립중앙박물관,13027,551234
2014,08,덕수궁,18960,78818
2014,08,태릉 ·  강릉 · 조선왕릉전시관,31,7084
2014,08,서대문형무소역사관,8296,124474
2014,08,서대문자연사박물관,0,63877
2014,08,트릭아이미술관,53680,30440
2014,08,헌릉ㆍ인릉,21,1889
2014,08,선릉·정릉,1101,26917
2014,09,창덕궁,38829,119260
2014,09,경복궁,159595,393644
2014,09,창경궁,2741,85604
2014,09,종묘,6730,22008
2014,09,국립중앙박물관,9492,192611
2014,09,덕수궁,15074,97594
2014,09,태릉 ·  강릉 · 조선왕릉전시관,72,12382
2014,09,서대문형무소역사관,6294,50505
2014,09,서대문자연사박물관,0,22734
2014,09,트릭아이미술관,30376,7278
2014,09,헌릉ㆍ인릉,10,4583
2014,09,선릉·정릉,1247,33118
2014,10,창덕궁,58996,182385
2014,10,경복궁,207722,468796
2014,10,창경궁,3860,116874
2014,10,종묘,6809,24230
2014,10,국립중앙박물관,11623,241780
2014,10,덕수궁,18733,148878
2014,10,태릉 ·  강릉 · 조선왕릉전시관,31,8134
2014,10,서대문형무소역사관,5926,79529
2014,10,서대문자연사박물관,0,26868
2014,10,트릭아이미술관,38218,8912
2014,10,헌릉ㆍ인릉,9,7077
2014,10,선릉·정릉,1149,37914
2014,11,창덕궁,47051,136085
2014,11,경복궁,164220,288936
2014,11,창경궁,3668,75897
2014,11,종묘,6022,15959
2014,11,국립중앙박물관,8967,197616
2014,11,덕수궁,19173,123477
2014,11,태릉 ·  강릉 · 조선왕릉전시관,9,4055
2014,11,서대문형무소역사관,5443,41879
2014,11,서대문자연사박물관,0,33254
2014,11,트릭아이미술관,34628,6000
2014,11,헌릉ㆍ인릉,16,3662
2014,11,선릉·정릉,918,26030
2014,12,창덕궁,29928,41561
2014,12,경복궁,129946,190501
2014,12,창경궁,1693,19473
2014,12,종묘,3891,5951
2014,12,국립중앙박물관,7195,258781
2014,12,덕수궁,14723,44272
2014,12,태릉 ·  강릉 · 조선왕릉전시관,12,486
2014,12,서대문형무소역사관,6263,27205
2014,12,서대문자연사박물관,0,24527
2014,12,트릭아이미술관,42443,7478
2014,12,헌릉ㆍ인릉,5,1036
2014,12,선릉·정릉,823,8869
2015,01,창덕궁,23453,49390
2015,01,경복궁,108087,196594
2015,01,창경궁,1326,24256
2015,01,종묘,3112,9854
2015,01,국립중앙박물관,6513,339073
2015,01,덕수궁,8989,54159
2015,01,태릉 ·  강릉 · 조선왕릉전시관,11,1754
2015,01,서대문형무소역사관,5355,23464
2015,01,서대문자연사박물관,0,44478
2015,01,트릭아이미술관,30234,10756
2015,01,헌릉ㆍ인릉,2,1362
2015,01,선릉·정릉,569,12155
2015,02,창덕궁,26439,58745
2015,02,경복궁,154280,264154
2015,02,창경궁,1487,51984
2015,02,종묘,4171,15102
2015,02,국립중앙박물관,6783,214923
2015,02,덕수궁,11984,62541
2015,02,태릉 ·  강릉 · 조선왕릉전시관,13,2821
2015,02,서대문형무소역사관,3702,12093
2015,02,서대문자연사박물관,0,24157
2015,02,트릭아이미술관,34684,8984
2015,02,헌릉ㆍ인릉,4,1706
2015,02,선릉·정릉,579,13497
2015,03,창덕궁,34770,63273
2015,03,경복궁,114092,272022
2015,03,창경궁,5526,111070
2015,03,종묘,5525,10717
2015,03,국립중앙박물관,9463,165430
2015,03,덕수궁,15227,55316
2015,03,태릉 ·  강릉 · 조선왕릉전시관,23,5274
2015,03,서대문형무소역사관,3850,34754
2015,03,서대문자연사박물관,0,22159
2015,03,트릭아이미술관,32313,4434
2015,03,헌릉ㆍ인릉,15,3014
2015,03,선릉·정릉,794,24718
2015,04,창덕궁,45325,140398
2015,04,경복궁,209980,406906
2015,04,창경궁,5862,82310
2015,04,종묘,5290,16470
2015,04,국립중앙박물관,11073,205569
2015,04,덕수궁,19304,100979
2015,04,태릉 ·  강릉 · 조선왕릉전시관,20,10420
2015,04,서대문형무소역사관,4114,57735
2015,04,서대문자연사박물관,0,24094
2015,04,트릭아이미술관,32168,3718
2015,04,헌릉ㆍ인릉,7,4782
